Province,District,adm_3,No_of_Individuals,Urban,Rural
KPK,Peshawar,peshawar,308933,233649,75284
KPK,Nowshera,nowshera,86972,42344,44628
KPK,Haripur,haripur,82022,25661,56361
KPK,Kohat,kohat,69962,16272,53690
KPK,Swabi,swabi,49198,16707,32491
KPK,Mansehra,mansehra,41375,22247,19128
KPK,Hangu,hangu,39068,10862,28206
KPK,Lower Dir,lower dir,34159,6653,27506
KPK,Mardan,mardan,21930,10215,11715
KPK,Charsadda,charsadda,17284,8689,8595
KPK,Abbottabad,abbottabad,14075,14075,0
KPK,Buner,buner,10100,1132,8968
KPK,Lakki Marwat,lakki marwat,9085,4430,4655
KPK,D. I. Khan,d. i. khan,8261,4837,3424
KPK,Malakand P Area,malakand p area,7561,7443,118
KPK,Bannu,bannu,6998,5313,1685
KPK,Chitral,chitral,6231,4435,1796
KPK,Upper Dir,upper dir,1888,1587,301
KPK,Swat,swat,1746,1746,0
KPK,Karak,karak,1417,1417,0
KPK,Tank,tank,1079,301,778
KPK,Dir,dir,989,989,0
KPK,Batagram,batagram,111,111,0
KPK,T A Adj Bannu,t a adj bannu,13,13,0
KPK,Kohistan,kohistan,11,11,0
KPK,Shangla,shangla,3,3,0
KPK,T A Adj Peshawar,t a adj peshawar,2,2,0
FATA,Khyber Agency,khyber agency,8185,8185,0
FATA,S Waziristan Agency,s waziristan agency,2755,2755,0
FATA,Mohmand Agency,mohmand agency,2443,2443,0
FATA,N Waziristan Agency,n waziristan agency,300,300,0
FATA,Bajaur Agency,bajaur agency,224,224,0
FATA,Kurram Agency,kurram agency,7,7,0
Northern Areas,Gilgit,gilgit,3,3,0
Northern Areas,Diamir,diamir,2,2,0
Sindh,Karachi,karachi,65745,65745,0
Sindh,Hyderabad,hyderabad,186,186,0
Sindh,Thatta,thatta,36,36,0
Sindh,Sanghar,sanghar,32,32,0
Sindh,Jamshoro,jamshoro,19,19,0
Sindh,Matiari,matiari,17,17,0
Sindh,Badin,badin,13,13,0
Sindh,Kambar Shahdad Kot,kambar shahdad kot,11,11,0
Sindh,Nawab Shah,nawab shah,11,11,0
Sindh,Shikarpur,shikarpur,11,11,0
Sindh,Ghotki,ghotki,8,8,0
Sindh,Dadu,dadu,6,6,0
Sindh,Mirpur Khas,mirpur khas,4,4,0
Sindh,Jacobabad,jacobabad,3,3,0
Sindh,Khairpur,khairpur,3,3,0
Sindh,Sukkur,sukkur,3,3,0
Sindh,Tando Muhammad Khan,tando muhammad khan,3,3,0
Punjab,Attock,attock,40210,40210,0
Punjab,Rawalpindi,rawalpindi,34781,34781,0
Punjab,Mianwali,mianwali,30777,14400,16377
Punjab,Chakwal,chakwal,23422,23422,0
Punjab,Lahore,lahore,9524,9524,0
Punjab,Gujrat,gujrat,7314,7314,0
Punjab,Sialkot,sialkot,5529,5529,0
Punjab,Khushab,khushab,4404,4404,0
Punjab,Jhelum,jhelum,4365,4365,0
Punjab,Mandi Bahauddin,mandi bahauddin,2066,2066,0
Punjab,Gujranwala,gujranwala,1632,1632,0
Punjab,Sargodha,sargodha,1281,1281,0
Punjab,Bhakkar,bhakkar,1016,1016,0
